DIESEL,E10,LOCATION,PULP95,ULP,date
133.45,125.52,NEWCASTLE,135.32,127.32,2019-08-21
132.33,124.29,SYDNEY,133.13,126.13,2019-08-21
133.71,125.93,NEWCASTLE,135.73,127.73,2019-08-17
132.59,124.69,SYDNEY,133.53,126.53,2019-08-17
136.36,,DARWIN,139.04,131.03,2019-08-21
136.61,,DARWIN,139.43,131.43,2019-08-17
133.42,125.40,BRISBANE,135.21,127.20,2019-08-21
137.33,,CAIRNS,141.47,133.47,2019-08-21
137.58,,GLADSTONE,140.77,132.77,2019-08-21
139.03,133.98,MACKAY,143.37,135.37,2019-08-21
138.28,,TOWNSVILLE,142.75,134.75,2019-08-21
133.68,125.81,BRISBANE,135.61,127.61,2019-08-17
137.59,,CAIRNS,141.88,133.88,2019-08-17
137.85,,GLADSTONE,141.17,133.17,2019-08-17
139.29,134.39,MACKAY,143.78,135.78,2019-08-17
138.54,,TOWNSVILLE,143.16,135.16,2019-08-17
133.59,,ADELAIDE,135.72,127.72,2019-08-21
133.85,,ADELAIDE,136.12,128.12,2019-08-17
139.54,,BURNIE,142.80,134.80,2019-08-21
139.20,,HOBART,142.17,134.17,2019-08-21
139.80,,BURNIE,143.21,135.21,2019-08-17
131.83,,GEELONG,134.79,126.79,2019-08-21
131.51,,MELBOURNE,134.30,126.30,2019-08-21
132.09,,GEELONG,135.19,127.19,2019-08-17
131.77,,MELBOURNE,134.70,126.70,2019-08-17
145.77,,BROOME,157.14,149.14,2019-08-21
138.17,,ESPERANCE,146.84,138.84,2019-08-21
137.02,,GERALDTON,,134.21,2019-08-21
137.20,,KALGOORLIE,,132.27,2019-08-21
134.47,,PERTH,137.16,129.16,2019-08-21
138.89,,PORT HEDLAND,,143.65,2019-08-21
146.03,,BROOME,157.58,149.58,2019-08-17
138.42,,ESPERANCE,147.23,139.23,2019-08-17
137.29,,GERALDTON,,134.61,2019-08-17
137.44,,KALGOORLIE,,132.66,2019-08-17
134.72,,PERTH,137.55,129.55,2019-08-17
139.14,,PORT HEDLAND,,144.08,2019-08-17
