DIESEL,E10,LOCATION,PULP95,PULP98,STATE,ULP,date
120.60,118.69,SYDNEY,127.35,143.56,NEW SOUTH WALES,119.49,2020-03-06
121.11,,NEWCASTLE,,,NEW SOUTH WALES,,2020-03-06
124.39,,DARWIN,133.85,,NORTHERN TERRITORY,124.81,2020-03-06
119.54,117.50,BRISBANE,127.00,143.87,QUEENSLAND,118.50,2020-03-06
122.90,,GLADSTONE,132.08,,QUEENSLAND,123.08,2020-03-06
123.06,,MACKAY,132.75,,QUEENSLAND,123.84,2020-03-06
123.54,,TOWNSVILLE,133.86,150.37,QUEENSLAND,124.61,2020-03-06
123.19,,CAIRNS,138.29,,QUEENSLAND,122.65,2020-03-06
132.77,,WEIPA,,,QUEENSLAND,145.05,2020-03-06
120.34,,ADELAIDE,127.62,144.75,SOUTH AUSTRALIA,119.52,2020-03-06
126.02,,PORT LINCOLN,,,SOUTH AUSTRALIA,123.93,2020-03-06
125.68,,HOBART,135.75,,TASMANIA,125.44,2020-03-06
125.97,,DEVONPORT,135.36,,TASMANIA,125.02,2020-03-06
120.45,118.76,MELBOURNE,127.19,143.95,VICTORIA,119.02,2020-03-06
120.45,,GEELONG,127.19,143.95,VICTORIA,119.02,2020-03-06
119.14,,PERTH,126.96,143.54,WESTERN AUSTRALIA,118.13,2020-03-06
138.07,,BROOME,153.40,,WESTERN AUSTRALIA,146.39,2020-03-06
139.33,,PORT HEDLAND,,,WESTERN AUSTRALIA,147.90,2020-03-06
122.94,,ESPERANCE,,,WESTERN AUSTRALIA,124.12,2020-03-06
131.96,,DAMPIER,,,WESTERN AUSTRALIA,,2020-03-06
136.40,,COCOS ISLAND,144.21,,WESTERN AUSTRALIA,,2020-03-06
